172.232.239.249:587, ID Akamai
172.232.239.175:587, ID Akamai
172.232.239.134:587, ID Akamai
172.232.239.147:587, ID Akamai
111.95.40.14:32414, ID Linknet Fastnet
38.60.171.111:587, ID Kaopu Cloud
147.139.245.56:443, ID Alibaba
147.139.243.188:587, ID Alibaba
172.232.239.151:587, ID Akamai
165.154.48.233:587, ID Ucloud Information Technology Hk
103.133.223.50:2096, ID Cloud Teknologi Nusantara
103.133.223.51:2096, ID Cloud Teknologi Nusantara
43.133.145.156:53136, ID Tencent cloud computing
8.215.23.33:587, ID Alibaba
8.215.23.109:587, ID Alibaba
103.133.223.52:2096, ID Cloud Teknologi Nusantara
101.50.0.114:8443, ID PT Beon Multimedia
203.194.112.119:2053, ID Rumahweb
35.219.50.99:443, ID Google LLC
35.219.15.90:443, ID Google LLC
54.251.167.101:443, SG Amazoncom
3.1.94.232:443, SG Amazoncom
207.148.68.228:80, SG Vultr
